origin,en,ja
링컨빌에 차량 기지를 추가로 만든 이유는 무엇이 필요했기 때문인가?,링컨빌에 추가 기지가 필요했던 이유는 무엇입니까?,링컨 빌에 차량 기지를 추가로 만든 이유는 무엇이 필요했기 때문입니까?
베링이 독일 말을 쉽게 구할 수 없었던 이유는 무엇 때문인가?,왜 독일어는 베링에서 쉽게 사용할 수 없었습니까?,베링이 독일의 단어를 쉽게 구할 수 없었던 이유는 무엇 때문인가?
예수가 하나님을 아버지라고 부른 것은 무엇으로 인해 잉태되었기 때문인가?,예수께서 잉태되셨기 때문에 하나님을 아버지라 부르신 이유는 무엇입니까?,예수님은 하나님을 아버지라고 부른 것은 무엇에 의해 생성 되었기 때문에인가?
때때로 연극이 관객에게 무엇을 호소할려는지 알수 없는 이유는?,때때로 우리는 연극이 청중에게 무엇을 어필하려고 하는지 알지 못하는 이유는 무엇입니까?,때때로 연극이 관객에게 무엇을 호소하려는지 모르는 이유는?
러블리스가 맥그래스를 공격한 이유는?,러블리스가 맥그래스를 공격한 이유는?,None
예측할 수 없는 대류의 움직임 때문에 발생하게 되는 것은?,예측할 수 없는 대류 운동으로 인해 발생하는 것은 무엇입니까?,예측할 수없는 대류 운동으로 인해 발생하게되는 것은?
"임진왜란 당시, 황석산성에서 두 아들과 함께 죽음을 맞이한 인물은?",임진왜란 때 황석산성에서 두 아들과 함께 죽은 사람은?,임진왜란 당시 황석 산성에서 두 아들과 함께 죽음을 맞이한 인물은?
2007년 IAU에서 외계 행성과 갈색왜성을 구분하는 척도로 삼자고 제시한 것은?,2007년 IAU는 외계행성을 갈색왜성과 구별하기 위한 척도로 무엇을 제안했는가?,2007 년 IAU에서 외계 행성 및 갈색 왜성을 구별 척도로 삼 자고 제시 한 것은?
브루노와 부팔마코가 칼란드리노의 여정에 함께한 이유는?,브루노와 부팔마코가 칼란드리노 여정에 합류한 이유는 무엇입니까?,브루노와 부 팔마 코가 칼 랜드 리노의 여행에 함께 한 이유는?
임진왜란의 정전회담의 결렬로 다시 일어난 전쟁은?,임진왜란 당시 휴전회담 결렬로 또 어떤 전쟁이 벌어졌을까?,임진왜란 정전 회담의 결렬에 다시 일어난 전쟁은?
아인이 옥림과 헤어진 이유는?,아인이 옥림과 헤어진 이유는?,아인이 옥림과 헤어진 이유는?
러시아어 교사 양미숙의 얼굴이 붉은 이유는?,러시아 교사 양미숙의 얼굴이 붉어진 이유는?,러시아 교사 양미숙의 얼굴이 붉은 이유는?
와타루가 부활동을 시작한 이유는?,와타루가 부활동을 시작한 이유는?,와타루가 동아리를 시작한 이유는?
위협 첩보때문에 문 전 대표 신변은 누가 보호하였는가?,누가 위협 첩보로부터 문 전 CEO를 보호 했습니까?,위협 첩보 위해 문 전 대표 신변 누가 보호 했는가?
유세군은 누구와의 관계 때문에 시를 지었나요?,유세건은 누구에 의해 시를 썼을까?,유세 군은 어떤 사람과 친밀한 관계를 위해 시를 지었나요?
아들이 무엇을 옮겼기 때문에 아들의 어머니가 돌아가셨나?,아들의 어머니는 그가 짊어진 물건 때문에 죽었습니까?,"아들이 무엇을 이동 때문에, 아들의 어머니가 돌아 두려워하지?"
후쿠다 총재가 주요 각료를 재임시킨 이유는?,후쿠다 지사는 왜 주요 장관을 다시 임명했습니까?,후쿠다 총재가 주요 각료를 연임시킨 이유는?
전격형 출혈성 천연두 환자는 무엇 때문에 눈의 흰자가 붉은색을 띠는가?,전격성 출혈성 천연두 환자의 눈 흰자위가 붉어지는 원인은 무엇입니까?,전격 형 출혈성 천연두 환자는 무엇을 위해 눈의 흰자위가 붉은 색을 띠고 있는지
선로 사용 시 융통성이 떨어지는 이유는 가까운 선로로 갈 때 무엇을 해야 하기 때문인가?,선로를 사용할 때 유연성이 부족한 이유는 가까운 선로에 갈 때 어떻게 해야 하기 때문입니까?,선로를 사용할 때 유연성이 떨어지는 이유는 인근 선로에 갈 때 무엇을 할 필요가 있기 때문 일까?
개찰 외에서도 열차가 보이는 것은 역 승강장과 개찰 외의 사이벽이 무엇으로 되어있기 때문인가?,개찰구 밖에서 열차가 보이는 것은 역 승강장과 개찰구 사이의 벽이  무엇으로 만들어졌기 때문일까요?,개찰구 밖에서도 열차가 보이는 것은 역 홈과 개찰구 밖 사이의 벽이 무엇으로되어 있기 때문입니까?
사고기의 이륙장소가 3C로 바뀐 이유는?,사고기 이륙장소가 3C로 변경된 이유는?,사고 기는 이륙 장소가 3C에 바뀐 이유는?
줄리와 스튜어트가 기차에서 내린 것은 무엇 때문인가?,줄리와 스튜어트가 기차에서 내린 이유는 무엇입니까?,줄리와 스튜어트가 기차에서 내린 이유는 무엇인가?
비율효과는 재화의 수요가 어떤 특징을 가지기 때문에 발생하는 효과인가?,비율 효과는 재화에 대한 수요의 어떤 특성 때문에 발생하는 효과인가?,비율의 효과는 재화의 수요가 어떤 특징을 가지고 있기 때문에 발생하는 효과가 있습니까?
경기용 탄환 표면 코팅을 구리 대신 윤활재로 하는 이유는?,왜 경쟁 총알 표면 코팅이 구리 대신 윤활제로 사용됩니까?,경기 용 총알의 표면 코팅을 구리 대신에 윤활제하는 이유는?
사람들이 태풍에 제대로 대비하지 못한 이유는?,사람들이 태풍에 제대로 대비하지 못하는 이유는 무엇입니까?,사람들이 태풍에 제대로 대비하지 않은 이유는?
사바나 원칙이 말하는 인간이 치장을 하는 이유는?,사바나 원칙에 따라 인간은 왜 옷을 입을까?,사바나 원칙이 말하는 인간이 옷차림을하는 이유는?
곤충이 주변 환경과 비슷한 모양을 하는 이유는?,곤충의 모양이 환경과 비슷한 이유는 무엇입니까?,곤충이 주변 환경과 비슷한 모양을하고있는 이유는?
당항포에서 왜군의 우두머리를 죽음에 이르게 한 무기는?,당항포에서 일본군 대장을 죽인 무기는?,당항포에서 일본군의 우두머리를 죽음에 이르게 한 무기는?
올댓스포츠에서 황상민을 고소하려고 한 이유는?,올댓스포츠는 왜 황상민을 고소하려 했을까?,올댓 스포츠 황상민을 고소하려고 한 이유는?
미라형 변광성의 겉보기 밝기가 크게 변하는 이유는?,미라화된 변광성의 겉보기 밝기가 그렇게 많이 변하는 이유는 무엇입니까?,미라 형 변광성보기 밝기가 크게 변화하는 이유는?
고토 신페이가 제도부흥계획을 만든 이유는?,고토 신페이는 왜 제도적 부흥 계획을 세웠는가?,고토 신페이가 제도 부흥 계획을 만든 이유는?
알비니가 전장에 나타나지 않은 것은 무엇 때문인가?,알비니가 전장에 등장하지 않은 이유는?,알 비니가 전장에 표시되지 않는 이유는 무엇인가?
바빌론의 공중정원이 실존했는지 정확히 알 수 없는 이유는?,바빌론의 공중정원(Hanging Gardens of Babylon)이 실제로 존재했는지 정확히 알 수 없는 이유는 무엇입니까?,바빌론의 공중 정원이 존재했는지를 정확히 알 수없는 이유는?
"손이 배에 붙어서 표현되어 있는 이유는 이것이 없었기 때문인데, 이것은 무엇인가?",배에 손이 붙어 있는 것은 이것이 존재하지 않았기 때문이다. 이게 뭔가요?,"손이 배에 대한 표현되는 이유는 이게 없었기 때문이다, 이것은 무엇입니까?"
샤 자한의 관이 타지마할 전체에서 유일하게 대칭 구조를 띠지 않는다고 추측되는 이유는?,샤 자한의 관이 전체 타지마할에서 유일한 비대칭 구조라고 가정하는 이유는 무엇입니까?,샤 자한의 관이 타지 마할 전체에서 유일한 대칭 구조를 띠고 않을 것이라고 생각되는 이유는?
닌자도의 크기와 모양이 사무라이가 사용하는 도검과 다른 이유는?,닌자 칼의 크기와 모양이 사무라이가 사용하는 칼과 다른 이유는 무엇입니까?,닌자도의 크기와 모양이 사무라이가 사용하는 검과 다른 이유는?
합성세제의 폐액 때문에 발생하는 문제로 미생물을 죽게 만드는 요인은?,합성세제의 폐액으로 인한 문제로 미생물을 사멸시키는 요인은 무엇인가?,합성 세제의 폐액이 발생하는 문제에 미생물을 소멸하는 요인은?
페뷔스가 에스메랄다를 변호하지 않은 것은 누구 때문인가?,페뷔스는 왜 에스메랄다를 변호하지 않았습니까?,페뷔스 에스메랄다를 변호하지 않은 것은 누구 때문인가?
마사키가 라기아스에 남을 수 있었던 이유는?,마사키가 라기아스에 남을 수 있었던 이유는?,마사키가 말한다 아스에 남아있을 수 있었던 이유는?
메흐메트가 이탈리아를 침략한 이유는?,메흐메트가 이탈리아를 침공한 이유는 무엇입니까?,메흐메트가 이탈리아를 침략 한 이유는?
"거대도시에서 가족의 해체, 각종 범죄, 정신적 질환 등이 특별히 많아지는 것은 무엇이 충돌되기 때문인가?","거대도시에서 가정의 해체, 각종 범죄, 정신병을 일으키는 갈등의 원인은 무엇일까?","거대 도시에서 가족의 해체, 각종 범죄, 정신 질환 등이 특히 많아지는 것은 무엇이 충돌 때문인지?"
노랫말의 번역이 대구 시구 번역보다 훨씬 제약이 많은 이유는?,대구 시구 번역보다 가사 번역이 훨씬 더 제한적인 이유는 무엇입니까?,가사 번역은 대구시 시구 번역보다 훨씬 제약이 많은 이유는?
의회와 정부의 갈등 때문에 군대를 동원한 사람은?,의회와 정부 간의 갈등 때문에 누가 군대를 동원했습니까?,의회와 정부의 대립에 군대를 동원한 사람은?
장성향교는 임진왜란으로 소실 된 이 후 언제 다시 지어졌는가?,임진왜란으로 멸망한 장성향교는 언제 중건되었습니까?,정성향교은 임진왜란으로 소실 된 후 언제 다시 세운 것인가?
에린이 열대폭풍으로 지정된후 바로 대류가 약해졌다고 분석된 이유는?,에린이 열대성 폭풍으로 지정된 직후 대류가 약해진 것으로 분석된 이유는?,에린이 열대 저기압으로 지정된 후 즉시 대류가 약해진 것으로 분석 된 이유는?
지출 대비 저수입을 강요 당하는 것은 공익사업의 어떤 특성 때문인가?,지출에 비해 수입이 적어야 하는 공공서비스의 본질은 무엇인가?,지출 대비 저소득을 강요당하는 것은 공익 사업의 무슨 특성 때문인지?
거제시에서 만세운동을 기념하는 행사가 5월 2일에 열렸던 이유는?,5월 2일 거제시에서 만세운동 행사를 펼친 이유는?,거제시에서 만세 운동을 기념하는 행사가 5 월 2 일에 열린 이유는?
윤치호가 미국을 더이상 정의와 자유의 국가라 여기지 않게 된 것은 어떤 조약 때문인가?,윤치호가 더 이상 미국을 정의와 자유의 나라로 여기지 않게 만든 조약은 무엇입니까?,윤치호가 미국을 다시 정의와 자유의 나라라고 생각하지 않는 것은 어떤 조약 때문인지?
삼성이 더이상 한겨레를 광고하지 않는 까닭은?,삼성이 더 이상 한겨레 광고를 하지 않는 이유는?,삼성이 또 한겨레을 광고하지 않는 이유는?
제임스 보이가 격리된 것은 무엇 때문인가?,제임스 보이가 격리된 이유는 무엇입니까?,제임스 보이지만 고립 된 이유는 무엇인가?
고종의 진보적 정책을 다른 사람이 한 것으로 왜곡한 책은 언제 발행되었나?,고종의 진보정책을 남의 것으로 왜곡한 책이 출판된 것은 언제였습니까?,고종의 진보적 정책을 다른 사람이 한 것을 왜곡 한 책은 언제 발행 되었는가?
에드워드 3세가 프랑스에서 철수한 것은 무엇 때문인가?,에드워드 3세가 프랑스에서 철수한 이유는 무엇입니까?,"에드워드 3 세, 프랑스에서 철수 한 이유는 무엇인가?"
"잉글랜드에게서 돈과 물품, 군인들을 전달할 수 있었던 것은 무엇을 차지했기 때문인가?","영국에서 돈, 물품, 군인을 배달할 수 있었던 이유는 무엇입니까?",영국에서 돈과 물건 군인을 전달할 수 있었던 것은 무엇을 차지한 탓인지?
2013년 올레나 소콜로브스키가 출장할 수 없게 된 이유는?,올레나 소콜로프스키가 2013년에 출전이 금지된 이유는 무엇입니까?,2013 년 올레와 소콜로프스키가 출전 할 수 없게 된 이유는?
펑후섬의 강한 바람 때문에 붙여진 이름은?,펑후 섬의 강한 바람에 붙인 이름은 무엇입니까?,평후섬의 강한 바람 때문에 붙여진 이름은?
김순이 일리 지방을 공격할 때라고 생각한 이유는?,김순은 왜 일리를 공격할 때라고 생각했을까?,김순이 일리 지방을 공격 할 때 알았는데 이유는?
도쿠가와 이에야스는 어떤 전쟁 때문에 소마 가문을 서군으로 간주했나요?,도쿠가와 이에야스가 소마씨를 서군으로 여겼던 전쟁은 어떤 전쟁이었습니까?,None
이오의 표면이 산으로 둘러싸여 있는 것은 어떤 현상 때문인가?,이오의 표면이 산으로 둘러싸인 이유는 무엇입니까?,이오의 표면이 산으로 둘러싸여있는 것은 어떤 현상 때문인가?
사쿠라가 성장할 때 스피넬 선을 만든 이유는?,사쿠라가 자랐을 때 스피넬 라인을 만든 이유는 무엇입니까?,사쿠라가 자랄 때 스피넬 선을 만든 이유는?
북한은 평양에 무엇이 있기 때문에 고조선의 도읍이 현재의 평양시라고 주장하는가?,북한은 무엇이 평양에 있다고 해서 고조선의 수도를 지금의 평양시라고 주장하는가?,북한은 평양에 무엇이 있기 때문에 고조선의 수도가 현재 평양시 주장하나?
"학교 지휘부가 ""혼란을 피하여 침착하게 한강을 넘어라""라고 지시를 내린 이유는?",교장의 명령은 왜 “혼란을 피하고 침착하게 한강을 건너라”는 것이었습니까?,"학교 지휘부가 ""혼란을 피하고 침착하게 한강을 넘어라""고 지시를 내린 이유는?"
국가운영 체제가 국가자본주의로 가게된 것은 어느 계급의 변질 때문인가?,어떤 계급 변화가 국가 운영 체제를 국가 자본주의로 전환하게 했는가?,국가의 운영 체제가 국가 자본주의로 이동 된 것은 어느 계급의 변질 때문인지?
1949년 대한식량공사 이사들의 퇴임은 무엇 때문인가?,1949년 대한식량공사 이사가 퇴직한 이유는 무엇입니까?,1949 년의 대한 식량 공사 이사의 퇴임은 무엇 때문 일까?
맨 처음 표현주의영화들이 이상한 배경을 사용하게 된 이유는 무엇이 모자랐기 때문인가?,최초의 표현주의 영화들이 이상한 배경을 사용한 이유는 무엇인가?,첫 표현주의 영화가 이상한 배경을 사용한 이유는 무엇이 부족 때문인지?
시오야슌이 붕대를 감고 촬영한 이유는?,시오야 슌은 왜 붕대를 감고 사진을 찍었을까?,시오야 슌이 붕대를 감고 촬영 한 이유는?
구두충이 숙주의 창자에 붙을 수 있는 이유는 주둥이에 무엇이 있기 때문인가?,구두충이 숙주의 창자에 붙을 수 있게 하는 주둥이에는 무엇이 있습니까?,구두충 숙주가 장내에 붙을 수 있는 이유는 입에 무엇이 있는가 때문인가?
고권삼이 친일인명사전 수록예정자 명단 중 해외 부문에 포함된 이유는 무엇 때문인가?,고권삼이 친일인력사전 후보작 해외란에 포함된 이유는?,고권삼이 친일 인명 사전수록 예정자 명단 중 해외 부문에 포함되어있는 이유는 무엇 때문인가?
시마즈가 조선인 포로에 대한 조치를 취하지 못한 것은 무엇 때문인가?,왜 시마즈는 조선 포로에 대한 조치를 취하지 않았습니까?,시마즈가 조선인 포로의 조치를 취하지 않은 이유는 무엇인가?
고종이 8월이 되서야 고구려를 공격했던 것은 어떤 조직 때문이었나요?,8월에 고종이 고구려를 공격하게 한 조직은?,고종이 8 월에 고구려를 공격 한 것은 어떤 조직 했습니까?
장재헌의 조상이자 임진왜란 당시 선조의 피난을 도와 공을 세운 이는?,임진왜란 때 선조를 도운 장재헌의 조상은 누구인가?,쟌제홍의 조상이며 임진왜란 당시 선조의 피난을 도와 공을 세운이?
1915년의 크리스마스의 정전이 1914년만큼 광범위하지 않았던 이유는?,1915년의 크리스마스 정전이 1914년만큼 광범위하지 않은 이유는 무엇입니까?,1915 년 크리스마스 정전이 1914 년보다 광범위하지 않은 이유는?
인도네시아가 OPEC에서 빠진 까닭은?,인도네시아가 OPEC을 탈퇴한 이유는?,인도네시아가 OPEC에서 빠진 이유는?
사람들은 왜 고양이처럼 생긴 바위를 지나갈 때마다 말에서 내려 걸어갔는가?,왜 사람들은 고양이 모양의 바위를 지날 때마다 말에서 내려 걸을까?,사람들은 왜 고양이처럼 생긴 바위를 통과 할 때마다 말에서 내려 걸어 갔는지?
