orign,jn,en ,jn-en,en-jn
칠갑산 암각화의 그림은 어떠한 방식으로 표현되었나?,칠갑산 암각화 그림은 어떻게 표현되었을까?,칠갑산 벽화의 그림은 어떤 방식으로 표현 했는가?,칠갑산 암각화의 그림은 어떻게 표현되어 있습니까?,칠갑산의 그림을 어떻게 표현하였습니까?
19세기 이전의 소설은 내용의 흐름을 어떻게 서술하였나?,19세기 이전의 소설은 내용의 흐름을 어떻게 묘사했습니까?,19 세기 이전의 소설은 내용의 흐름을 어떻게 묘사 했습니까?,19세기 이전의 소설은 내용의 흐름을 어떻게 묘사했습니까?,19세기 이전의 소설은 내용의 흐름을 어떻게 묘사했습니까?
사료 비판 중 실시 자체로 위서를 가릴 수 있는 방식은?,역사적 자료에 대한 비판 가운데 어떻게 행위 자체가 패권을 가릴 수 있겠는가?,사료 비판의 실시 자체에 위서을 숨길 수있는 방법은?,none,none
한국군이 지연전술을 펼쳤을 때 북한군은 어떠한 이유로 한국군에게 반격하지 못하였나?,한국군이 지연전술을 펼쳤을 때 북한군은 왜 남한군의 반격에 실패했는가?,한국군이 지연 전술을 펼칠 때 북한군은 어떤 이유로 한국군에 반격 할 수없는인지?,"한국군은 지연전술을 펼쳤는데, 왜 북한군은 한국군의 반격에 실패했는가?",남한군이 지연전술을 퍼뜨렸을 때 북한군이 남한군에게 반격하지 못하는 이유는 무엇일까?
현대 도시 계획안은 도시계획의 어떠한 특성을 고려하기 시작하면서 탄생했는가?,근대 도시계획이 탄생할 때 고려된 도시계획의 특징은 무엇이었는가?,현대적인 도시 계획은 도시 계획의 어떤 특성을 고려하기 시작하면서 탄생 한 것인가?,현대 도시계획이 탄생할 때 고려된 도시계획의 특징은 무엇이었는가?,현대 도시 계획은 도시 계획의 어떤 특성을 고려하기 시작 했습니까?
사이클롭스는 어떠한 몬스터로 분류되는가?,사이클롭스는 어떤 몬스터로 분류되나요?,사이클롭스는 어떤 몬스터로 분류되는지,사이클롭스는 어떤 몬스터로 분류되나요?,사이클롭스는 어떤 몬스터로 분류되나요?
보현암 석조관음보살의 보존 상태는 어떠한가?,보현암 석조관음보살의 보존상태는?,보현암 석조관음보살의 저장 상태는 어떤가?,보현암 석조관음보살의의 보존은 어떠합니까?,보현암 석조관음보살의 보존상태는 어떻습니까?
성화 점화 전에 비둘기를 풀던 방식은 어떤 올림픽 이후로 바뀌게 되었는가?,올림픽이 끝난 후 성화가 점화되기 전 비둘기가 느슨해지는 방식은 어떻게 달라졌습니까?,성화 점화 전에 비둘기를 풀리던 방식은 어떤 올림픽 후 변화 ?,어느 올림픽 이후에 성화불이 켜지기 전 비둘기들은 풀리지 않았을까요?,성화가 점화되기 전 비둘기 풀던 방식은 어떤 올림픽으로 바뀔까?
어떠한 목적 의식도 가지지 않은 상태를 장자는 뭐라고 했는가?,장자는 목적의식이 없는 상태에 대해 뭐라고 했습니까?,어떤 목적 의식도없는 상태를 장자는 무엇이라 했는가?,장자는 목표 없는 상태에 대해 뭐라고 말했습니까?,none
에이든이 다룰 수 있는 물체는 보통 어떠한 색을 하고 있는가?,에이든이 다룰 수 있는 물건은 무슨 색입니까?,에이든이 처리 할 수있는 것은 보통 어떤 색을하고 있는지?,에이든이 처리할 수 있는 색상 개체는 무엇입니까?,에이든은 일반적으로 어떤 색상을 처리합니까?
후안 마요르가는 <다윈의 거북이>로 어떠한 결과를 얻었나?,후안 마요르가는 다윈의 거북이로 무엇을 얻었습니까?,후안 마요르가는 <다윈의 거북이>에서 어떤 결과를 얻었 는가??,후안 마요르가는 <다윈의 거북이>로 무엇을 성취했습니까?,<다윈의 거북이>가 후안 마요르가에게 가서 어떤 결과를 얻었나요?
마르크수 주의를 주장하는 사람들이 자본국가를 어떻게 지칭하는가?,마르크스주의 옹호자들은 자본국가를 어떻게 지칭하는가?,마르크수주의를 주장하는 사람들이 자본 국가를 어떻게 의미합니까?,마르크스주의 옹호자들은 자본 국가들을 어떻게 지칭하는가?,마르크수를 따르는 사람들은 자본주의 국가를 어떻게 지칭하는가?
터널 내의 환기 방식은 횡류식에서 어떤 방식으로 바뀌었나요?,터널의 환기 시스템은 횡류식에서 어떻게 변경되었습니까?,터널의 환기 방식은 횡류 식 어떻게 바뀌었나?,터널의 환기 시스템은 횡류식에서 어떻게 변경됩니까?,터널의 환기 시스템은 횡류식에서 어떤 시스템으로 변경되었습니까?
하이다 과이는 하이다언어로 어떻게 해석되는가?,하이다 과이는 하이다 언어로 어떻게 해석됩니까?,하이다과이는 하이다 언어로 어떻게 해석되는지,하이다 과이는 하이다에서 어떻게 설명됩니까?,하이다 과이는 하이다 언어로 어떻게 해석되는지?
청화백자병에서 당시의 새로운 유행양식과 높은 미적감각을 엿볼수 있는 표현 방식은?,청화백자병에서 당시의 새로운 패셔너블한 스타일과 높은 미적 감각을 엿볼 수 있는 표현 방식은 무엇일까?,청화 백자 항아리에서 당시의 새로운 유행 작풍과 높은 미적 감각을 엿볼 수있는 표현 방식은?,청화백병은 어떤 표현으로 당시의 새로운 패션과 높은 미학을 엿볼 수 있을까요?,당시의 새로운 패션 스타일과 높은 미적 감각을 엿볼 수 있는 칭화백자의 표현방식은?
임신이 자연적으로 되지 않을 때 이용하는 방식은?,자연스럽게 임신이 되지 않을 때 어떤 방법을 사용하시나요?,임신이 자연스럽게되지 않을 때 이용하는 방식은?,임신이 자연스럽지 않을 때 어떤 방법을 사용합니까?,자연적으로 임신이 되지 않을 때 어떤 방법을 사용하시나요?
제너럴 셔먼호 사건 당시 조선은 어떠한 공격 방식으로 셔먼호의 항행을 불가능하게 만들었는가?,제너럴 셔먼 사건 당시 조선은 어떻게 셔먼 항행을 불가능하게 만들었을까?,제너럴 셔먼 호 사건 당시 조선은 어떤 공격 방법의 셔먼 호의 항해를 불가능하게 했나?,제너럴 셔먼 사건이 일어났을 때 조선은 셔먼이 항행하는 것을 어떻게 막았습니까?,제너럴 셔먼 사건 당시 조선은 어떤 공격 방식으로 셔먼 사건을 불가능하게 만들었을까?
데이비드는 어떻게 정체를 숨겼나?,데이비드는 자신의 신분을 어떻게 숨겼습니까?,데이비드는 어떻게 정체를 숨긴 것이나?,데이비드는 자신의 신분을 어떻게 숨겼습니까?,데이비드는 어떻게 자신의 신분을 숨겼습니까?
학교형태의 평생교육시설이 어떠한 목적으로 이용되는 것을 막아야 하는가?,학교형 평생교육시설은 어떤 용도로 사용을 금지해야 하나요?,학교 형태의 평생 교육 시설이 어떤 목적으로 이용되는 것을 막아야?,none,학교형 평생교육시설은 어떤 용도로 사용을 금지해야 할까요?
강희제는 장병 간의 관계가 어떻다고 믿었나?,강희제는 장병간의 관계를 무엇이라고 믿었을까?,강희제는 장병 사이의 관계가 어떻다고 생각했지?,장시즈는 병사들의 관계를 어떻게 생각하는가?,강희제는 군인들의 관계를 어떻게 믿습니까?
