origin en ja en-ja ja-en
"링컨빌에 차량 기지를 추가로 만든 이유는 무엇이 필요했기 때문인가?" "Lincolnville에 추가 창고가 필요했던 이유는 무엇입니까?" "링컨 빌에 차량 기지를 추가로 만든 이유는 무엇이 필요했기 때문입니까?" "Lincolnville에 추가 창고가 필요합니까?" "Lincolnville에 추가 창고를 만드는 데 무엇이 필요했습니까?"
"베링이 독일 말을 쉽게 구할 수 없었던 이유는 무엇 때문인가?" "왜 독일어는 베링에서 쉽게 사용할 수 없었습니까?" "베링 독일의 단어를 쉽게 구할 수 없었던 이유는 무엇 때문인가?" "베링에서 독일어를 사용하기가 쉽지 않은 이유는 무엇입니까?" "베링이 독일어를 쉽게 구하지 못한 이유는 무엇일까요?"
"예수가 하나님을 아버지라고 부른 것은 무엇으로 인해 잉태되었기 때문인가?" "예수께서 잉태되셨기 때문에 하나님을 아버지라 부르신 이유는 무엇입니까?" "예수님은 하나님을 아버지라고 부른 것은 무엇을 위해 고안 되었기 때문에인가?" "예수께서 잉태되셨기 때문에 하나님을 아버지라 부르신 이유는 무엇입니까?" "예수님이 하나님을 아버지라 부르신 이유는 무엇입니까?"
"때때로 연극이 관객에게 무엇을 호소할려는지 알수 없는 이유는?" "때때로 우리는 연극이 청중에게 무엇을 어필하려고 하는지 알지 못하는 이유는 무엇입니까?" "때때로 연극이 관객에게 무엇을 호소 료눈지 모르는 이유는?" "왜 때때로 우리는 쇼가 청중을 끌어들이고 싶어하는지 모를까요?" "극장이 때때로 관객들에게 어필하는 것이 무엇인지 왜 알지 못합니까?"
"러블리스가 맥그래스를 공격한 이유는?" "러블리스가 맥그래스를 공격한 이유는?" "러블리 스마쿠 잔을 공격 한 이유는?" "러블리스가 맥그래스를 공격한 이유는?" "러블리 맥그래스를 공격한 이유는?"
"예측할 수 없는 대류의 움직임 때문에 발생하게 되는 것은?" "예측할 수 없는 대류 운동으로 인해 발생하는 것은 무엇입니까?" "예측할 수없는 대류 운동으로 인해 발생하게되는 것은?" "예측할 수 없는 대류 운동의 원인은 무엇입니까?" "예측할 수 없는 대류 운동 때문입니까?"
"임진왜란 당시, 황석산성에서 두 아들과 함께 죽음을 맞이한 인물은?" "임진왜란 때 황석산성에서 두 아들과 함께 죽은 사람은?" "임진왜란 당시 황석 산성에서 두 아들과 함께 죽음을 맞이한 인물은?" "임진왜란 때 황시산성에서 두 아들과 함께 죽은 사람은?" "양수룡 때 두 아들과 함께 황석산으로 죽은 사람은?"
"2007년 IAU에서 외계 행성과 갈색왜성을 구분하는 척도로 삼자고 제시한 것은?" "2007년 IAU는 외계행성을 갈색왜성과 구별하기 위한 척도로 무엇을 제안했는가?" "2007 년 IAU에서 외계 행성 및 갈색 왜성을 구별 척도로 삼 자고 제시 한 것은?" "IAU는 2007년에 외계행성과 갈색왜성을 구분하는 척도로 무엇을 제안했는가?" "당신은 2007년 IAU에서 외계행성과 갈색왜성을 구분하는 척도로 무엇을 제시했습니까?"
"브루노와 부팔마코가 칼란드리노의 여정에 함께한 이유는?" "Bruno와 Buffalmaco가 Kalandrino 여정에 합류한 이유는 무엇입니까?" "브루노와 부 팔마 코가 칼 랜드 리노의 여행에 함께 한 이유는?" "왜 Bruno와 Bufamako가 Calandrino 여행에 합류했을까요?" "Bruno와 Club Palma Nose가 Carlland Reno 여행에 함께한 이유는 무엇입니까?"
"임진왜란의 정전회담의 결렬로 다시 일어난 전쟁은?" "임진왜란 당시 휴전회담 결렬로 또 어떤 전쟁이 벌어졌을까?" "임진왜란 정전 회담의 결렬에 다시 일어난 전쟁은?" "임진왜란 휴전협상 결렬 후 어떤 전쟁이 일어났는가?" "양수룡의 정전 회담 결렬 이후 일어난 전쟁은?"
"아인이 옥림과 헤어진 이유는?" "아인이 옥림과 헤어진 이유는?" "아인이 옥림과 헤어진 이유는?" "아이가 옥림과 헤어진 이유는?" "아인이 탐바야시와 헤어진 이유는?"
"러시아어 교사 양미숙의 얼굴이 붉은 이유는?" "러시아 교사 양미숙의 얼굴이 붉어진 이유는?" "러시아 교사 얀미스쿠의 얼굴이 붉은 이유는?" "러시아 교사 Yang Meishu가 얼굴을 붉히는 이유는 무엇입니까?" "러시아 선생님 옌미숙이 얼굴이 빨개진 이유는?"
"와타루가 부활동을 시작한 이유는?" "와타루가 부활동을 시작한 이유는?" "와타루가 동아리를 시작한 이유는?" "Wataru가 하위 이벤트를 시작하는 이유는 무엇입니까?" "와타루가 동아리 활동을 시작한 이유는?"
"위협 첩보때문에 문 전 대표 신변은 누가 보호하였는가?" "누가 위협 인텔리전스로부터 문 전 CEO를 보호 했습니까?" "위협 첩보 위해 문 전 대표 신변 누가 보호 했는가?" "누가 위협 인텔리전스로부터 문 전 CEO를 보호했는가?" "누가 위협 인텔리전스를 위해 프런트 도어 담당자를 보호했습니까?"
"유세군은 누구와의 관계 때문에 시를 지었나요?" "유세건은 누구와 시를 썼을까?" "유세 군은 사람과 친밀한 관계를 위해 시간을 분 있나요?" "Liu Shijian은 누구와 시를 썼습니까?" "연설 군대는 누구를 위해 시간을 들였습니까?"
"아들이 무엇을 옮겼기 때문에 아들의 어머니가 돌아가셨나?" "아들의 어머니는 그가 짊어진 물건 때문에 죽었습니까?" "아들이 무엇을 이동 때문에, 아들의 어머니가 돌아 두려워하지?" "아들의 어머니는 그가 짊어진 물건 때문에 죽었습니까?" "당신의 아들은 무엇을 움직이고 있습니까, 그래서 당신의 아들의 어머니가 돌아올 것이 두렵지 않습니까?"
"후쿠다 총재가 주요 각료를 재임시킨 이유는?" "후쿠다 지사는 왜 주요 장관을 지냈습니까?" "후쿠다 총재가 주요 각료를 연임시킨 이유는?" "후쿠다 지사는 왜 총리를 맡았습니까?" "후쿠다 지사는 왜 주요 장관을 재임명했는가?"
"전격형 출혈성 천연두 환자는 무엇 때문에 눈의 흰자가 붉은색을 띠는가?" "전격성 출혈성 천연두 환자의 눈 흰자위가 붉어지는 원인은 무엇입니까?" "전격 형 출혈성 천연두 환자는 무엇을 위해 눈의 흰자위가 붉은 색을 띠고 있는지" "전격성 출혈성 천연두 환자의 눈 흰자위가 붉어지는 원인은 무엇입니까?" "감전형 출혈성 천연두 환자의 눈이 붉어지는 이유는 무엇입니까?"
"선로 사용 시 융통성이 떨어지는 이유는 가까운 선로로 갈 때 무엇을 해야 하기 때문인가?" "선로를 사용할 때 유연성이 부족한 이유는 가까운 선로에 갈 때 어떻게 해야 합니까?" "선로를 사용할 때 유연성이 떨어지는 이유는 인근 선로에 갈 때 무엇을 할 필요가 있기 때문 일까?" "선로를 사용할 때 유연성이 부족한 이유는 가까운 선로에 갈 때 어떻게 해야 합니까?" "철로를 이용할 때 융통성이 없는 이유는 바로 인근 철로에 갈 때 해야 하는 일입니다."
"개찰 외에서도 열차가 보이는 것은 역 승강장과 개찰 외의 사이벽이 무엇으로 되어있기 때문인가?" "역 승강장과 개찰구 사이의 벽이 개찰구 밖에서 열차가 보이도록 만들어졌기 때문일까요?" "개찰구 밖에서도 열차가 보이는 것은 역 홈과 개찰구 밖 사이의 벽이 무엇으로되어 있기 때문입니까?" "승강장과 개찰구 사이의 벽이 무언가로 되어 있어서 개찰구 밖에서 열차가 보이기 때문일까요?" "개찰구 밖에서도 열차가 보이는 역 승강장과 개찰구 밖 사이의 벽은 무엇입니까?"
"사고기의 이륙장소가 3C로 바뀐 이유는?" "사고기 이륙장소가 3C로 변경된 이유는?" "사고 기는 이륙 장소가 3C에 바뀐 이유는?" "사고기 이륙장소가 3C가 된 이유는?" "사고 항공기의 이륙 장소가 3C로 변경된 이유는 무엇입니까?"
"줄리와 스튜어트가 기차에서 내린 것은 무엇 때문인가?" "Julie와 Stewart가 기차에서 내린 이유는 무엇입니까?" "줄리와 스튜어트가 기차에서 내린 이유는 무엇인가?" "줄리와 스튜어트는 왜 기차에서 내렸을까?" "Julie와 Stewart가 기차에서 내린 이유는 무엇입니까?"
"비율효과는 재화의 수요가 어떤 특징을 가지기 때문에 발생하는 효과인가?" "비율 효과는 재화에 대한 수요의 특성 때문에 발생하는 효과인가?" "비율의 효과는 재화의 수요가 어떤 특징을 가지고 있기 때문에 발생하는 효과가 있습니까?" "비율효과는 재화수요의 특성에 의한 효과인가?" "비율의 효과를 일으키는 재화에 대한 수요의 특성은 무엇입니까?"
"경기용 탄환 표면 코팅을 구리 대신 윤활재로 하는 이유는?" "왜 경쟁 총알 표면 코팅이 구리 대신 윤활제로 사용됩니까?" "경기 용 총알의 표면 코팅을 구리 대신에 윤활제하는 이유는?" "게임탄의 표면 코팅을 구리 대신 윤활제로 사용하는 이유는 무엇입니까?" "왜 경쟁 탄환의 표면 코팅을 구리 대신 윤활제로 사용합니까?"
"사람들이 태풍에 제대로 대비하지 못한 이유는?" "사람들이 태풍에 제대로 대비하지 못하는 이유는 무엇입니까?" "사람들이 태풍에 제대로 대비하지 않은 이유는?" "사람들이 태풍에 대비하지 않는 이유는 무엇입니까?" "왜 사람들은 태풍에 제대로 대비하지 못했을까?"
"사바나 원칙이 말하는 인간이 치장을 하는 이유는?" "사바나 원칙에 따라 인간은 왜 옷을 입을까?" "사바나 원칙이 말하는 인간이 옷차림을하는 이유는?" "왜 인간은 사바나 원칙에 따라 옷을 입습니까?" "왜 인간은 사바나 원칙에 따라 옷을 입습니까?"
"곤충이 주변 환경과 비슷한 모양을 하는 이유는?" "곤충의 모양이 환경과 비슷한 이유는 무엇입니까?" "곤충이 주변 환경과 비슷한 모양을하고있는 이유는?" "곤충의 모양이 환경과 유사한 이유는 무엇입니까?" "곤충은 왜 주변 환경과 비슷합니까?"
"당항포에서 왜군의 우두머리를 죽음에 이르게 한 무기는?" "당항포에서 일본군 대장을 죽인 무기는?" "단항뽀에서 일본군의 헤더를 죽음에 이르게 한 무기는?" "항포 때 어떤 무기가 일본 지도자를 죽였습니까?" "단함포에서 일본군 헤더를 죽인 무기는?"
"올댓스포츠에서 황상민을 고소하려고 한 이유는?" "올댓스포츠는 왜 황상민을 고소하려 했을까?" "올댓 스포츠 황상민을 고소하려고 한 이유는?" "올댓스포츠가 황상민을 고소한 이유는?" "올댓스포츠 팬 산민을 고소하려 한 이유는?"
"미라형 변광성의 겉보기 밝기가 크게 변하는 이유는?" "미라화된 변광성의 겉보기 밝기가 그렇게 많이 변하는 이유는 무엇입니까?" "미라 형 변광성보기 밝기가 크게 변화하는 이유는?" "미라화된 변광성의 겉보기 밝기가 그렇게 많이 변하는 이유는 무엇입니까?" "미라형 변광성의 겉보기 밝기는 왜 그렇게 많이 변하는가?"
"고토 신페이가 제도부흥계획을 만든 이유는?" "고토 신페이는 왜 제도적 부흥 계획을 세웠는가?" "고토 신페이이 제도 부흥 계획을 만든 이유는?" "고토 신페이가 조직 부흥 계획을 세운 이유는?" "고토 신페이는 왜 제도 재건 계획을 세웠는가?"
"알비니가 전장에 나타나지 않은 것은 무엇 때문인가?" "알비니가 전장에 등장하지 않은 이유는?" "알 비니가 전장에 표시되지 않는 이유는 무엇인가?" "알비니가 전장에 등장하지 않은 이유는?" "알비니가 전장에 안나오는 이유는?"
"바빌론의 공중정원이 실존했는지 정확히 알 수 없는 이유는?" "바빌론의 공중정원(Hanging Gardens of Babylon)이 실제로 존재했는지 정확히 알 수 없는 이유는 무엇입니까?" "바빌론의 공중 정원이 존재했는지를 정확히 알 수없는 이유는?" "바빌론의 공중정원(Hanging Gardens of Babylon)이 실제로 존재하는지 왜 모르나요?" "바빌론 공중정원의 존재 여부를 정확히 알 수 없는 이유는 무엇입니까?"
"손이 배에 붙어서 표현되어 있는 이유는 이것이 없었기 때문인데, 이것은 무엇인가?" "배에 손이 붙어 있는 것은 존재하지 않았기 때문이다. 이게 뭔가요?" "손이 배에 대한 표현되는 이유는이 없었기 때문이다, 이것은 무엇입니까?" "손이 배에 달라붙는 이유는 그것이 존재하지 않기 때문이다. 이게 뭔가요?" "손이 더블에 대해 표현된 이유는 거기에 없었기 때문인데 이것은 무엇일까요?"
"샤 자한의 관이 타지마할 전체에서 유일하게 대칭 구조를 띠지 않는다고 추측되는 이유는?" "샤 자한의 관이 전체 타지에서 유일한 비대칭 구조라고 가정하는 이유는 무엇입니까?" "샤 자한의 관이 타지 마할 전체에서 유일한 대칭 구조를 띠고 않을 것이라고 생각되는 이유는?" "샤 자한의 관이 전체 타지마할에서 유일한 비대칭 구조라고 가정하는 이유는 무엇입니까?" "왜 Shah Jahan의 관은 Taj Mahal 전체에서 유일한 대칭 구조를 가지고 있지 않다고 가정합니까?"
"닌자도의 크기와 모양이 사무라이가 사용하는 도검과 다른 이유는?" "닌자 칼의 크기와 모양이 사무라이가 사용하는 칼과 다른 이유는 무엇입니까?" "닌자도의 크기와 모양이 사무라이가 사용하는 검과 다른 이유는?" "닌자 칼의 크기와 모양이 사무라이가 사용하는 칼과 다른 이유는 무엇입니까?" "사무라이가 사용하는 닌자 검의 크기와 모양 및 기타 이유는 무엇입니까?"
"합성세제의 폐액 때문에 발생하는 문제로 미생물을 죽게 만드는 요인은?" "합성세제의 폐액으로 인한 문제로 미생물을 사멸시키는 요인은 무엇인가?" "합성 세제의 폐액이 발생하는 문제에 미생물을 死なする 요인은?" "합성세제 폐액으로 인한 문제, 미생물을 죽이는 요인은?" "합성세제의 폐액으로 인한 문제로 미생물을 죽이는 요인은 무엇입니까?"
"페뷔스가 에스메랄다를 변호하지 않은 것은 누구 때문인가?" "포에버스는 왜 에스메랄다를 변호하지 않았습니까?" "뻬부위스가 에스메랄다를 변호하지 않은 것은 누구 때문인가?" "피비는 왜 에스메랄다를 변호하지 않습니까?" "에스메랄다를 옹호하지 않는 페브위스는 누구인가?"
"마사키가 라기아스에 남을 수 있었던 이유는?" "마사키가 라기아스에 남을 수 있었던 이유는?" "마사키가 말한다 아스에 남아있을 수 있었던 이유는?" "마사키가 라기아스에 머무를 수 있는 이유는 무엇입니까?" "왜 Masaki는 엉덩이에 머물 수 있었습니까?"
"메흐메트가 이탈리아를 침략한 이유는?" "메흐메트가 이탈리아를 침공한 이유는 무엇입니까?" "메 이탈리아를 침략 한 이유는?" "무함마드가 이탈리아를 침공한 이유는?" "메흐메드가 이탈리아를 침공한 이유는 무엇입니까?"
"거대도시에서 가족의 해체, 각종 범죄, 정신적 질환 등이 특별히 많아지는 것은 무엇이 충돌되기 때문인가?" "메가시티에서 가정의 해체, 각종 범죄, 정신병을 일으키는 갈등의 원인은 무엇일까?" "거대 도시에서 가족의 해체, 각종 범죄, 정신 질환 등이 특히 많아지는 것은 무엇이 충돌 때문인지?" "메가시티에서 가정의 해체, 각종 범죄, 정신질환을 일으킨 갈등의 원인은 무엇인가?" "메가시티에서 가정해체, 각종 범죄, 정신질환이 많이 발생하는 이유는 무엇일까요?"
"노랫말의 번역이 대구 시구 번역보다 훨씬 제약이 많은 이유는?" "대구 구절 번역보다 가사 번역이 훨씬 더 제한적인 이유는 무엇입니까?" "가사 번역은 대구시 구 번역보다 훨씬 제약이 많은 이유는?" "대구시 번역보다 가사 번역이 훨씬 엄격한 이유는 무엇입니까?" "왜 가사 번역이 대구시 번역보다 훨씬 더 제한적입니까?"
"의회와 정부의 갈등 때문에 군대를 동원한 사람은?" "의회와 정부 간의 갈등 때문에 누가 군대를 동원했습니까?" "의회와 정부의 대립을 위해 군대를 동원한 사람은?" "의회와 정부의 갈등 때문에 누가 군대를 동원했습니까?" "의회와 정부의 대결을 위해 누가 군대를 동원했습니까?"
"장성향교는 임진왜란으로 소실 된 이 후 언제 다시 지어졌는가?" "임진왜란으로 멸망한 장성향교는 언제 중건되었습니까?" "壁郷校은 임진왜란으로 소실 된 후 언제 다시 세운 것인가?" "임진왜란으로 파괴된 만리장성 마을은 언제 재건되었습니까?" "양수룡으로 인해 사라진 월향학교는 언제 재건된 것일까?"
"에린이 열대폭풍으로 지정된후 바로 대류가 약해졌다고 분석된 이유는?" "에린이 열대성 폭풍으로 지정된 직후 대류가 약해진 것으로 분석된 이유는?" "에린이 열대 저기압으로 지정된 후 즉시 대류가 약해진 것으로 분석 된 이유는?" "아이린이 열대성 폭풍으로 지정된 직후 대류가 약해졌다는 분석이 나온 이유는?" "에린이 열대성 저기압으로 지정된 직후 대류가 약해진 것으로 분석된 이유는?"
"지출 대비 저수입을 강요 당하는 것은 공익사업의 어떤 특성 때문인가?" "지출에 비해 수입이 적어야 하는 공공서비스의 본질은 무엇인가?" "지출 대비 저소득을 강요당하는 것은 공익 사업의 몇 가지 특성 때문인지?" "지출에 비해 소득이 낮아야 하는 공공서비스의 본질은 무엇인가?" "지출에 비해 낮은 소득을 벌어야 하는 것은 유틸리티의 일부 특성 때문입니까?"
"거제시에서 만세운동을 기념하는 행사가 5월 2일에 열렸던 이유는?" "5월 2일 거제시에서 만세운동을 펼친 이유는?" "거제시에서 만세 운동을 기념하는 행사가 5 월 2 일에 열린 이유는?" "5월 2일 거제시에서 만세운동 기념행사가 열리는 이유는?" "5월 2일 거제에서 만세운동 기념행사가 열린 이유는?"
"윤치호가 미국을 더이상 정의와 자유의 국가라 여기지 않게 된 것은 어떤 조약 때문인가?" "윤치호가 더 이상 미국을 정의와 자유의 나라로 여기지 않게 만든 조약은 무엇입니까?" "윤치호가 미국을 다시 정의와 자유의 나라라고 생각하지 않는 것은 어떤 조약 때문인지?" "Yin Zhihao가 더 이상 미국을 정의롭고 자유로운 국가로 간주하지 않게 한 조약은 무엇입니까?" "윤치호가 더 이상 미국을 정의와 자유의 나라로 여기지 않는 이유는 무엇일까?"
"삼성이 더이상 한겨레를 광고하지 않는 까닭은?" "삼성이 더 이상 한겨레 광고를 하지 않는 이유는?" "삼성이 또 한겨레을 광고하지 않는 이유는?" "왜 삼성은 더 이상 한겨레 광고를하지 않습니까?" "삼성이 더 이상 한겨레 광고를 하지 않는 이유는?"
"제임스 보이가 격리된 것은 무엇 때문인가?" "제임스 보이가 격리된 이유는 무엇입니까?" "제임스 보이지만 고립 된 이유는 무엇인가?" "제임스 보이가 격리된 이유는 무엇입니까?" "제임스는 생겼는데 왜 격리됐어?"
"고종의 진보적 정책을 다른 사람이 한 것으로 왜곡한 책은 언제 발행되었나?" "고종의 진보정책을 남의 것으로 왜곡한 책이 출판된 것은 언제였습니까?" "고종의 진보적 정책을 다른 사람이 한 것을 왜곡 한 책은 언제 발행 되었는가?" "고종의 진보적 정책을 남의 책으로 왜곡한 책이 언제 출판되었습니까?" "고종의 진보정책을 위해 다른 사람들이 한 일에 대해 왜곡된 책이 나온 것은 언제부터인가?"
"에드워드 3세가 프랑스에서 철수한 것은 무엇 때문인가?" "에드워드 3세가 프랑스에서 철수한 이유는 무엇입니까?" "에드워드 3 세, 프랑스에서 철수 한 이유는 무엇인가?" "에드워드 3세가 프랑스에서 철수한 이유는 무엇입니까?" "에드워드 3세는 왜 프랑스에서 철수했는가?"
"잉글랜드에게서 돈과 물품, 군인들을 전달할 수 있었던 것은 무엇을 차지했기 때문인가?" "영국에서 돈, 물품, 군인을 배달할 수 있었던 이유는 무엇입니까?" "영국에서 돈과 물건 군인을 전달할 수 있었던 것은 무엇을 차지한 탓인지?" "영국에서 돈, 물품 및 군인을 운송하는 것이 가능한 이유는 무엇입니까?" "영국에서 돈, 물품, 군인을 넘겨줄 수 있었던 이유는 무엇입니까?"
"2013년 올레나 소콜로브스키가 출장할 수 없게 된 이유는?" "올레나 소콜로프스키가 2013년에 출전이 금지된 이유는 무엇입니까?" "2013 년 올레와 소고 르 스와 로브 스키가 출전 할 수 없게 된 이유는?" "Olena Sokolovsky가 2013년 대회 참가가 금지된 이유는 무엇입니까?" "나와 Sokol Swarovski가 2013년에 참가하지 못한 이유는 무엇입니까?"
"펑후섬의 강한 바람 때문에 붙여진 이름은?" "펑후 섬의 강한 바람에 붙인 이름은 무엇입니까?" "포로 후소무 강한 바람 때문에 붙여진 이름은?" "펑후 섬의 강한 바람의 이름은 무엇입니까?" "POW Fusom의 거센 바람에 붙인 이름은 무엇입니까?"
"김순이 일리 지방을 공격할 때라고 생각한 이유는?" "김순은 왜 일리를 공격할 때라고 생각했을까?" "기무슨이 일리 지방을 공격 할 때 알았는데 이유는?" "진순은 왜 이리를 공격할 때라고 생각하는 걸까?" "왜 지방을 공격할 때라고 생각했습니까?"
"도쿠가와 이에야스는 어떤 전쟁 때문에 소마 가문을 서군으로 간주했나요?" "도쿠가와 이에야스는 소마씨를 서양군으로 여겼던 전쟁은 어떤 전쟁이었습니까?" "도쿠가와 이에야스는 여러 전쟁을 위해 소마 집을 西軍과 여러분 했나?" "소마가를 서양군으로 여기는 도쿠가와 이에야스의 전쟁은?" "도쿠가와 이에야스는 소마 가문을 일부 전쟁의 서군으로 간주했습니까?"
"이오의 표면이 산으로 둘러싸여 있는 것은 어떤 현상 때문인가?" "이오의 표면이 산으로 둘러싸인 이유는 무엇입니까?" "이오의 표면이 산으로 둘러싸여있는 것은 어떤 현상 때문인가?" "이오의 표면이 산으로 둘러싸인 이유는 무엇입니까?" "이오의 표면이 산으로 둘러싸인 이유는 무엇입니까?"
"사쿠라가 성장할 때 스피넬 선을 만든 이유는?" "사쿠라가 자랐을 때 스피넬 라인을 만든 이유는 무엇입니까?" "사쿠라가 자랄 때 스피넬 선을 만든 이유는?" "사쿠라가 자랐을 때 스피넬 라인을 만든 이유는 무엇입니까?" "사쿠라가 자랄 때 스피넬 라인을 만든 이유는 무엇입니까?"
"북한은 평양에 무엇이 있기 때문에 고조선의 도읍이 현재의 평양시라고 주장하는가?" "북한은 왜 평양에 있다고 해서 고조선의 수도를 지금의 평양시라고 주장하는가?" "북한은 평양에 무엇이 있기 때문에 고조선의 수도가 현재 평양시 주장하거나" "북한은 왜 평양 상황을 보고 고대 조선의 수도를 현재의 평양시라고 주장했는가?" "북한이 평양에 가지고 있는 것, 그래서 고조선의 수도가 지금의 평양이라고 주장하는 것"
"학교 지휘부가 ""혼란을 피하여 침착하게 한강을 넘어라""라고 지시를 내린 이유는?" "교장의 명령은 왜 “혼란을 피하고 침착하게 한강을 건너라”는 것이었습니까?" "학교 지휘부가 &quot;혼란을 피하고 침착하게 한강을 넘어라&quot;고 지시를 내린 이유는?" "교장은 왜 &quot;혼란을 피하고 침착하게 한강을 항해하라&quot;고 지시했는가?" "교장은 왜 “혼란을 피하고 침착하게 한강을 건너라”고 지시했나요?"
"국가운영 체제가 국가자본주의로 가게된 것은 어느 계급의 변질 때문인가?" "어떤 계급 변화가 국가 운영 체제를 국가 자본주의로 전환하게 했는가?" "국가의 운영 체제가 국가 자본주의로 이동 된 것은 어느 정도의 변질 때문인지?" "어떤 계급 변화가 국가 운영 체제를 국가 자본주의로 만들었을까?" "국가의 운영 체제는 국가 자본주의와 함께 어느 정도 진행되고 있습니까?"
"1949년 대한식량공사 이사들의 퇴임은 무엇 때문인가?" "1949년 한국식품공사 이사가 퇴직한 이유는 무엇입니까?" "1949 년의 식량 공사 이사의 퇴임은 무엇 때문 일까?" "1949년 대한식품회사 이사가 퇴직한 이유는 무엇입니까?" "1949년 식품공사 이사가 퇴직한 이유는 무엇입니까?"
"맨 처음 표현주의영화들이 이상한 배경을 사용하게 된 이유는 무엇이 모자랐기 때문인가?" "최초의 표현주의 영화들이 이상한 배경을 사용한 이유는 무엇인가?" "첫 표현주의 영화가 이상한 배경을 사용한 이유는 무엇이 부족 때문인지?" "최초의 표현주의 영화에서 기이한 배경을 갖게 된 이유는 무엇인가?" "이상한 배경을 사용한 최초의 표현주의 영화에서 빠진 것은?"
"시오야슌이 붕대를 감고 촬영한 이유는?" "시오야 슌은 왜 붕대를 감고 사진을 찍었을까?" "시오야 슌이 붕대를 감고 촬영 한 이유는?" "시오야가 붕대를 감고 사진을 찍은 이유는?" "시오야 슌이 붕대를 감고 촬영한 이유는?"
